file,seconds
1089-134686-0000.wav,10.44
1089-134686-0001.wav,3.27
1089-134686-0002.wav,6.62
1089-134686-0003.wav,2.68
1089-134686-0004.wav,5.22
1089-134686-0005.wav,9.63
1089-134686-0006.wav,10.55
1089-134686-0007.wav,4.28
1089-134686-0008.wav,6.73
1089-134686-0009.wav,10.57
1089-134686-0010.wav,4.41
1089-134686-0011.wav,12.45
1089-134686-0012.wav,11.64
1089-134686-0013.wav,7.92
1089-134686-0014.wav,2.23
1089-134686-0015.wav,5.82
1089-134686-0016.wav,3.54
1089-134686-0017.wav,8.87
1089-134686-0018.wav,15.72
1089-134686-0019.wav,13.89
1089-134686-0020.wav,16.79
1089-134686-0021.wav,6.55
1089-134686-0022.wav,11.18
1089-134686-0023.wav,13.28
1089-134686-0024.wav,11.65
1089-134686-0025.wav,6.61
1089-134686-0026.wav,4.01
1089-134686-0027.wav,2.71
1089-134686-0028.wav,7.83
1089-134686-0029.wav,4.67
1089-134686-0030.wav,2.71
1089-134686-0031.wav,6.62
1089-134686-0032.wav,4.09
1089-134686-0033.wav,3.33
1089-134686-0034.wav,5.81
1089-134686-0035.wav,3.44
1089-134686-0036.wav,3.25
1089-134686-0037.wav,5.21
1089-134691-0000.wav,2.08
1089-134691-0001.wav,5.42
1089-134691-0002.wav,11.60
1089-134691-0003.wav,2.17
1089-134691-0004.wav,5.18
1089-134691-0005.wav,5.36
1089-134691-0006.wav,5.89
1089-134691-0007.wav,3.44
1089-134691-0008.wav,14.98
1089-134691-0009.wav,20.05
1089-134691-0010.wav,3.19
1089-134691-0011.wav,20.01
1089-134691-0012.wav,15.03
1089-134691-0013.wav,16.33
1089-134691-0014.wav,4.75
1089-134691-0015.wav,3.40
1089-134691-0016.wav,9.06
1089-134691-0017.wav,11.70
1089-134691-0018.wav,3.09
1089-134691-0019.wav,3.15
1089-134691-0020.wav,3.99
1089-134691-0021.wav,13.37
1089-134691-0022.wav,5.63
1089-134691-0023.wav,7.74
1089-134691-0024.wav,2.21
1089-134691-0025.wav,8.01
1188-133604-0000.wav,10.72
1188-133604-0001.wav,9.04
1188-133604-0002.wav,17.96
1188-133604-0003.wav,12.61
1188-133604-0004.wav,10.65
1188-133604-0005.wav,8.56
1188-133604-0006.wav,2.40
1188-133604-0007.wav,14.24
1188-133604-0008.wav,20.75
1188-133604-0009.wav,23.06
1188-133604-0010.wav,6.09
1188-133604-0011.wav,15.19
1188-133604-0012.wav,14.65
1188-133604-0013.wav,3.02
1188-133604-0014.wav,4.39
1188-133604-0015.wav,16.09
1188-133604-0016.wav,16.59
1188-133604-0017.wav,4.62
1188-133604-0018.wav,11.55
1188-133604-0019.wav,13.93
1188-133604-0020.wav,10.26
1188-133604-0021.wav,14.02
1188-133604-0022.wav,9.63
1188-133604-0023.wav,23.67
1188-133604-0024.wav,15.24
1188-133604-0025.wav,7.45
1188-133604-0026.wav,20.12
1188-133604-0027.wav,11.24
1188-133604-0028.wav,19.00
1188-133604-0029.wav,3.71
1188-133604-0030.wav,1.92
1188-133604-0031.wav,4.25
1188-133604-0032.wav,10.98
